タイムスタンプ,02　新規登録ですか、修正依頼ですか,店舗名,04-1　店舗住所・区名＜公開＞,04-2　店舗住所・区以降＜公開＞,04-3　店舗住所・建物名称など＜公開＞,4_4_lat,4_4_long,04-4　【任意】店舗の正確な位置（緯度・経度）が分かる方は入力をお願いします＜公開＞,05　店舗の電話番号（ハイフンなし）＜公開＞,06　最寄り駅＜公開＞,07　提供の条件（提供時間・曜日）＜公開＞,定休日,09　店舗　ウェブサイトURL＜公開＞,10　店舗　SNS＜公開＞,ジャンル,12　テイクアウト（持ち帰り）はできますか＜公開＞,13-1　デリバリー（宅配・出前）はできますか＜公開＞,13-2　デリバリー（宅配・出前）の配達・配送料＜公開＞,14　店舗からのメッセージ＜公開＞,15-1a　【メニュー１】メニュー名＜公開＞,15-1b　【メニュー１】税込価格＜公開＞,15-2a　【メニュー２】メニュー名＜公開＞,15-2b　【メニュー２】税込価格＜公開＞,15-3a　【メニュー３】メニュー名＜公開＞,15-3b　【メニュー３】税込価格＜公開＞,15-4　【メニュー4以降】メニュー名、税込価格＜公開＞,店舗ID,変更フラグ
4/28/2020 14:27:17,新規登録,ぐるめ亭霧が丘店,緑区,霧が丘2-16-2,,35.51444,139.497937,"35.514440, 139.497937",459224388,JR横浜線　十日市場駅,お持ち帰り寿司・テイクアウト　GW期間中11：00～20：00　左記以外11：00～20：00,不定休,https://gurume-tei.com/,https://twitter.com/gurumetei_staff,寿司,はい,いいえ,,"毎日魚河岸で新鮮鮮魚を目利き仕入れ。新鮮な魚介が食べられる人気回転寿司。
持ち帰り寿司ももちろん美味しい！地元の人に愛され続け20年！",春のにぎわい盛り1人前（4人前まであります）,1980,春の旬鮮盛り1人前（5人前まであります）,1780,創作寿司ぐるめ盛り1人前（5人前まであります）,1680,,253,
4/28/2020 14:13:25,新規登録,ぐるめ寿司鶴見市場店,鶴見区,市場大和町4-1,,35.516632,139.687322,"35.516632, 139.687322",455042828,京急鶴見市場駅,お持ち帰り寿司・テイクアウト　全日11：00～21：00,定休日なし,http://www.gurume-zusi.com/,https://twitter.com/gurumezushi,寿司,はい,いいえ,,"毎日魚河岸で新鮮鮮魚を目利き仕入れ。新鮮な魚介が食べられる人気回転寿司。
持ち帰り寿司ももちろん美味しい！地元の人に愛され続け30年！",人気ナンバーワン　ぐるめ盛り,1050,ご家族皆さんで！　満足3人前,3240,12貫1本ボリューム満点　まんぷく盛り,1296,,250,
5/13/2020 18:03:30,新規登録,アサドール ケリコ,港北区,大倉山1-15-17,第二リベルテ大倉山１F,35.52015449,139.630755,"35.52015449,139.63075501",457176620,大倉山駅,テイクアウト　12:00?18:00　（30分前?　要事前予約）,不定休,http://asador-querico.com,https://www.instagram.com/asadorquerico/,フレンチ　アサドール ,はい,いいえ,,作り置きなし、なるべくお店の味を生かしたフレンチです、みんなでもひとりでもケリコBOX 当日ご用意できる料理と アラカルトメニューご用意いたします。,ケリコBOX 1名様分 4品目とガリシアサンド,3240,ケリコBOX 2~3名様分 8品目とガリシアサンド,5400,ガリシアサンド,1290,アラカルトメニューは日替わり　￥1380?,649,
5/3/2020 15:42:12,新規登録,綱島ワインバルGato Negro,港北区,綱島西1-7-15,日生第二ビル地下1階,35.5368,139.6338,"35.5368,139.6338",455176256,綱島駅西口徒歩1分,テイクアウトは16時?21時 デリバリーは18時?21時（綱島駅より半径3km範囲のみ) 月曜日定休,月曜日,,https://m.facebook.com/wine.bar.GatoNegro/,洋食,はい,はい,無料,海外で4年以上修行したシェフのフレンチ&ワインのおつまみオードブル♪,前菜②つ＋魚介のペスカトーレor牛シンタマのせガーリックライス,1500,前菜おまかせオードブル,1200,,,,400,
5/3/2020 14:55:50,新規登録,ジョルニカフェ玄,青葉区,しらとり台２－７３,クオーレ１０１,35.538774,139.516575,"35.538774,139.516575",455147986,青葉台,テイクアウトは11時～19時（定休日：日曜日、祝日、第三月曜日）,日曜日,,,カレー,はい,いいえ,,横浜・地産地消サポート店です。大葉薫るカレーライス「青葉台カレー」をはじめとする各種カレーライスや、淡路島ぬーどるを使用した「ナポリンタンぬーどる」などをお召し上がりください。,青葉台カレー,900,オムカレ,900,ナポリンタンぬーどる,800,"キーマカレー（950円）,豆腐カレーライス（750円）,ミートソースぬーどる(800円）など",397,
5/8/2020 9:50:45,新規登録,横浜家系らーめん魂心家 青葉台,青葉区,青葉台２‐５‐１７,木村ビル１Ｆ,35.542614,139.515544,"35.542614, 139.515544",459811222,青葉台駅,4月29日(水)～当面の間24:00　営業時間内,定休日なし,http://www.konshinya.com/,https://twitter.com/konshinya178,ラーメン,はい,いいえ,,"ご自宅でも魂心家の味を！ご要望にお応えして、魂心家青葉台の店舗で期間限定テイクアウトを始めました??
券売機でご購入後、スタッフへ「テイクアウト」で、とお申し付けください。",らーめん(醤油・塩),700,魂心らーめん(醤油・塩),820,濃魂つけ麺,800,,543,
5/3/2020 15:03:07,新規登録,生タピオカ専門店トマリギ センター南店,都筑区,茅ヶ崎中央21-12,森村ビル1階,35.5427597,139.5718263,"35.5427597, 139.5718263",,センター南駅,テイクアウトのみで13時~19時,不定休,https://tapioca-tomarigi.com/,https://www.instagram.com/tomarigi_sennan/?hl=ja,タピオカドリンク,はい,いいえ,,1時間以上かけて仕込んだモチモチの生タピオカ、を、ミルクベースとティーベースの2種類の飲み方でお楽しみいただけます！大変な状況下ですが、わたしたちトマリギのタピオカが、皆さんの疲れを癒すお手伝いができたら幸いです！,ザンザン黒糖(黒糖ミルク),550,ザンザンストロベリー(ストロベリーミルク),550,アッサムミルクティー,500,,398,
4/24/2020 23:46:58,新規登録,海んちょ,港北区,日吉6?9?18,ヴァンベール日吉1F,35.543051,139.653941,"35.543051,139.653941",455629426,日吉駅,テイクアウトは金曜日、土曜日、日曜日の16時から21時まで,"月曜日, 火曜日, 水曜日, 木曜日",http://umincho.net,https://www.instagram.com/umincho/?hl=ja,和食,はい,いいえ,,日々料理の研究に余念がない店主の、和を洋に、洋を和にと、様々なアレンジを効かせた、アイディアたっぷりの海んちょ自慢の創作料理をお届けします。,もつ煮込み?牛すじ入り?大盛り,648,あぐー豚の肉どうふ,1058,梅酒で漬けた油淋鶏,626,横浜野菜の浅漬け盛り合わせ（432）、ごぼうのサクサク揚げ（550）、山芋ステーキ（669）、ガーリックポテト（423）、手羽先の唐揚げ（734）,148,
5/4/2020 16:37:50,新規登録,うなぎ料理　しま村　青葉台店,青葉区,青葉台2-10-16,第2鈴木ビル1階,35.545364,139.51667,"35.545364, 139.516670",454791131,東急田園都市線青葉台駅,"【テイクアウト】
　[平日]
　　11:00～15:00（L.O 14:00）
　　16:30～20:00（L.O 19:00）
　[土・日・祝日]
　　11:00～15:00（L.O 14:00）
　　16:30～20:00（L.O 19:00）

【デリバリー】出前館によるサービス提供
・受付時間
　[平日]
　　11:00 ～ 13:00
　　16:30 ～ 19:30
　[土・日・祝日]
　　11:00 ～ 19:30
・お届け時間
　　ご注文より約75分
・配達区域
　　青葉区一部、緑区一部
定休日：火曜日、第２・第３月曜日 ※祝日の場合は、水曜日休み",火曜日,https://unagi-shimamura.com/,,うな重,はい,はい,"配達料420円　※1500円以上（税込、送料含まず）で送料310円
テイクアウトと同じメニューを揃えておりますが、
テイクアウトよりも価格を高く設定しています。
予めご了承くださいませ。","【鰻料理専門店の味をご家庭でも】
うなぎ一筋五十年。目利きと技に自信あり。
伝統の技と味を極め、新たなうなぎ料理の世界を追及します。",うな重（竹）,3564,うな重（松）,4536,うな重（特上）,5940,上記メニューの価格は、テイクアウトの価格です。,447,
4/23/2020 16:07:01,新規登録,ローカーボやざわダイニング,青葉区,藤が丘1-23-13,アベニュー藤が丘1階,35.545577,139.533359,"35.545577, 139.533359",455074616,藤が丘,テイクアウト、デリバリーとも11:00～13:30　17:30～20:00　水曜夜のみ休み,水曜日,https://yazawa-dining.com/,https://www.facebook.com/%E3%83%AD%E3%83%BC%E3%82%AB%E3%83%BC%E3%83%9C-%E3%82%84%E3%81%96%E3%82%8F%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0-100548414734197,お弁当,はい,はい,"当店から5Km圏内1回300円　500ｍ圏内は1回100円　3,000円以上無料",野菜たっぷり、美味しくてヘルシーなお弁当を食べたいなら「やざわダイニング」！素材から手をかけて作るお総菜を一度味わっていただければと思います♪店から5Km圏内なら配送もOK。,日替わりお肉弁当,750,日替わりお魚弁当,700,ローカーボ弁当（肉または魚）,1000,「鶏そぼろ弁当」「500」,83,
